parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,index,par_type,item
G_diff,0.747,0.135,0.49,0.996,0.001,0.001,9810,12380,1,,item,
a,-0.297,0.041,-0.374,-0.219,0.001,0,2362,6186,1,3,item,G1189
a,-0.286,0.031,-0.344,-0.23,0.001,0,1465,4162,1,13,item,G1948
a,-0.132,0.037,-0.202,-0.064,0.001,0,2093,5634,1,32,item,M7949
a,-2.275,0.131,-2.526,-2.037,0.001,0.001,14535,14022,1,12,item,G1920
a,-0.428,0.044,-0.509,-0.346,0.001,0,2688,8520,1,1,item,C1084
a,-1.128,0.066,-1.256,-1.007,0.001,0,6157,11408,1,2,item,C47
a,-0.298,0.04,-0.374,-0.222,0.001,0,2467,6680,1,5,item,G1210
a,-0.107,0.029,-0.161,-0.051,0.001,0,1232,4291,1.01,19,item,G2352
a,-0.205,0.032,-0.265,-0.145,0.001,0,1453,4444,1,25,item,M1571
a,-0.377,0.037,-0.448,-0.31,0.001,0,1994,6110,1,33,item,M811
a,-1.056,0.054,-1.16,-0.957,0.001,0,4345,9484,1,0,item,C1039
a,0.076,0.031,0.018,0.133,0.001,0,1272,4161,1,9,item,G1631
a,-0.998,0.047,-1.086,-0.911,0.001,0,3080,8202,1,15,item,G2063
a,-0.999,0.049,-1.093,-0.908,0.001,0,3289,7629,1,21,item,G410
a,-0.408,0.046,-0.496,-0.324,0.001,0,3124,7735,1,29,item,M5680
a,0.114,0.029,0.059,0.17,0.001,0,1296,3717,1,8,item,G1588
a,-0.232,0.03,-0.287,-0.174,0.001,0,1323,4202,1,10,item,G1799
a,-0.141,0.029,-0.195,-0.086,0.001,0,1154,4111,1.01,14,item,G2006
a,-0.441,0.039,-0.518,-0.372,0.001,0,2179,6282,1,24,item,G938
a,-0.174,0.034,-0.237,-0.108,0.001,0,1612,5046,1,7,item,G1472
a,-0.474,0.031,-0.53,-0.415,0.001,0,1329,4162,1,16,item,G2268
a,0.003,0.028,-0.05,0.054,0.001,0,1142,3435,1.01,18,item,G2346
a,-0.313,0.043,-0.394,-0.233,0.001,0,2610,6801,1,26,item,M3453
a,-1.026,0.051,-1.127,-0.933,0.001,0,3737,8023,1,11,item,G181
a,-0.067,0.033,-0.13,-0.006,0.001,0,1504,4999,1,17,item,G2341
a,-0.307,0.037,-0.376,-0.239,0.001,0,1958,6059,1,20,item,G2404
a,-0.143,0.029,-0.198,-0.088,0.001,0,1273,3778,1.01,27,item,M3924
a,-0.106,0.031,-0.164,-0.048,0.001,0,1461,3927,1,4,item,G1190
a,-0.506,0.029,-0.561,-0.452,0.001,0,1207,3495,1.01,22,item,G584
a,-0.875,0.048,-0.963,-0.784,0.001,0,3392,8303,1,23,item,G794
a,-0.428,0.039,-0.5,-0.354,0.001,0,2007,5607,1,30,item,M5839
a,-0.246,0.03,-0.305,-0.193,0.001,0,1256,4190,1.01,34,item,M8907
b,0.312,0.015,0.286,0.34,0,0,21538,15516,1,3,item,G1189
b,1.13,0.015,1.102,1.158,0,0,31123,15028,1,13,item,G1948
b,0.063,0.003,0.057,0.069,0,0,29721,15485,1,32,item,M7949
b,-0.399,0.029,-0.454,-0.345,0,0,20535,15620,1,12,item,G1920
b,0.523,0.013,0.5,0.549,0,0,27347,14813,1,1,item,C1084
b,0.015,0.032,-0.043,0.075,0,0,15319,14612,1,2,item,C47
b,0.271,0.006,0.259,0.282,0,0,33390,13784,1,5,item,G1210
b,-1.017,0.029,-1.072,-0.963,0,0,22707,14601,1,19,item,G2352
b,0.113,0.015,0.083,0.141,0,0,23889,14992,1,25,item,M1571
b,0.199,0.014,0.173,0.227,0,0,21933,14188,1,33,item,M811
b,1.457,0.031,1.399,1.516,0,0,15203,15716,1,0,item,C1039
b,0.137,0.013,0.112,0.161,0,0,28156,15038,1,9,item,G1631
b,-1.374,0.064,-1.5,-1.26,0,0,27211,15837,1,15,item,G2063
